otcmarkets.com	Orientation, Proximity, Light, Motion		otcmarkets.com	1	0.0
myntra.com	Orientation, Motion	Canvas	myntra.com	1	0.0007
surge.sh	Orientation		surge.sh	1	0.0
vans.co.uk	Orientation, Motion	Canvas	vans.co.uk	1	0.0
banking-oberbank.at	Orientation, Proximity, Light, Motion	Canvas	banking-oberbank.at	1	0.0
parts-express.com	Orientation		parts-express.com	1	0.0
groupon.ae	Orientation, Motion	Canvas	groupon.ae	1	0.0
exmo.com	Orientation		exmo.com	1	0.0
nofrills.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	nofrills.ca	1	0.0
21vianet.com	Orientation		21vianet.com	1	0.0
marthastewart.com	Orientation, Proximity, Motion, Light		marthastewart.com	1	0.0001
heathersidetrading.com	Orientation		heathersidetrading.com	1	0.0
moo.com	Orientation		moo.com	1	0.0001
etihadguest.com	Orientation, Motion	Canvas	etihadguest.com	1	0.0
ih5.cn	Orientation		ih5.cn	1	0.0002
exmo.me	Orientation		exmo.me	1	0.0001
footaction.com	Orientation, Motion	Canvas	footaction.com	1	0.0
adidas.fr	Orientation, Motion	Canvas	adidas.fr	1	0.0
saiglobal.com	Orientation, Motion	Canvas	saiglobal.com	1	0.0
camex.az	Orientation		camex.az	1	0.0
infomedia.com.au	Orientation		superservice.com	1	0.0
furorporno.com	Orientation		nachovidal.com	1	0.0
target.com.au	Orientation, Motion	Canvas	target.com.au	1	0.0001
kroger.com	Orientation, Motion	Canvas	kroger.com	1	0.0002
homedepot.ca	Orientation, Motion	Canvas	homedepot.ca	1	0.0002
kubnews.ru	Orientation, Motion		kubnews.ru	1	0.0
jsdelivr.net	Proximity		kanmsu.com	1	0.0
epson.de	Proximity		epson.de	1	0.0
skyhives.com	Proximity		skyhives.com	1	0.0
axa.com	Proximity, Orientation, Light, Motion		axa.com	1	0.0
hampshire.edu	Proximity		hampshire.edu	1	0.0
sumo.com	Proximity		sumo.com	1	0.0
epson.fr	Proximity		epson.fr	1	0.0
daytondailynews.com	Proximity, Orientation, Light, Motion		daytondailynews.com	1	0.0
taxpolicycenter.org	Proximity		taxpolicycenter.org	1	0.0
epson.co.uk	Proximity		epson.co.uk	1	0.0
efirstbank.com	Proximity, Orientation, Light, Motion		efirstbank.com	1	0.0001
d4c0ui3wizi5e.cloudfront.net	Proximity		nachi.org	1	0.0
userede.com.br	Proximity		userede.com.br	1	0.0
locaweb.com.br	Proximity		locaweb.com.br	1	0.0001
epson.it	Proximity		epson.it	1	0.0
adage.com	Proximity, Light		adage.com	1	0.0001
acura.com	Proximity		acura.com	1	0.0
annals.org	Proximity, Light		annals.org	1	0.0
rackcdn.com	Proximity		arise.com	1	0.0
mantruckandbus.com	Proximity		man.eu	1	0.0
hyperxgaming.com	Proximity		hyperxgaming.com	1	0.0
workflowmax.com	Orientation, Motion	Canvas	workflowmax.com	1	0.0
virginmoneygiving.com	Orientation, Light, Motion		virginmoneygiving.com	1	0.0
be-in.ru	Proximity		be-in.ru	1	0.0
soccerbible.com	Proximity		soccerbible.com	1	0.0
charbroil.com	Proximity		charbroil.com	1	0.0
proofpositivemedia.com	Proximity, Orientation, Light, Motion	AudioContext, Battery	collegexpress.com	1	0.0
pelismart.com	Proximity		pelismart.com	1	0.0
roosevelt.edu	Proximity		roosevelt.edu	1	0.0
payback.de	Proximity		payback.de	1	0.0002
d2krftu0n4417x.cloudfront.net	Proximity		photovisi.com	1	0.0
newsela.com	Proximity		newsela.com	1	0.0002
s3-sa-east-1.amazonaws.com	Proximity		polishop.com.br	1	0.0
epson.es	Proximity		epson.es	1	0.0
pathoma.com	Proximity		pathoma.com	1	0.0001
anl.gov	Proximity		anl.gov	1	0.0
santander.com.mx	Proximity, Motion, Light, Orientation	Canvas	santander-serfin.com	1	0.0
makeameme.org	Proximity		makeameme.org	1	0.0
mdedge.com	Proximity, Light, Orientation, Motion		mdedge.com	1	0.0
volkswagen.co.uk	Proximity		volkswagen.co.uk	1	0.0
overstock.com	Orientation, Motion	Canvas	overstock.com	1	0.0004
