gayjection.com	Orientation		pichaloca.com	1	0.0	6
studentuniverse.com	Orientation, Motion	Canvas	studentuniverse.com	1	0.0001	3
autoscout24.at	Orientation		autoscout24.at	1	0.0	1
michaelkors.com	Orientation, Motion	Canvas	michaelkors.com	1	0.0001	3
freepeople.com	Orientation, Motion	Canvas	freepeople.com	1	0.0001	3
riyadonline.com	Orientation, Proximity, Light, Motion		riyadonline.com	1	0.0001	2
ceros.com	Orientation, Motion		ceros.com	1	0.0	2
targetimg1.com	Orientation	Canvas, Canvas font, WebRTC	target.com	1	0.0022	4
marriott.com.au	Orientation, Motion	Canvas	marriott.com.au	1	0.0	3,4
instaplus.pro	Orientation		instaplus.pro	1	0.0	2
tyingart.com	Orientation		tyingart.com	1	0.0	7
stubhub.co.uk	Orientation, Motion	Canvas	stubhub.co.uk	1	0.0	3
grainger.com	Orientation, Motion	Canvas	grainger.com	1	0.0002	3
toysrus.com	Orientation, Motion	Canvas	toysrus.com	1	0.0001	3,2
btmae.com	Orientation		btmae.com	1	0.0	2
abercrombie.com	Orientation, Motion	Canvas	abercrombie.com	1	0.0001	3
liveaquaria.com	Orientation, Motion	Canvas	liveaquaria.com	1	0.0	3
shomoos.com.sa	Orientation, Light, Motion	Canvas, WebRTC	shomoos.com.sa	1	0.0	4
pier1.com	Orientation, Motion	Canvas	pier1.com	1	0.0001	3
fedex.com	Orientation, Motion	Canvas	fedex.com	1	0.0025	3
virginatlantic.com	Orientation, Motion	Canvas	virginatlantic.com	1	0.0	3
fcbayern.com	Orientation, Motion	Canvas	fcbayern.com	1	0.0	3
qvcuk.com	Orientation, Motion	Canvas	qvcuk.com	1	0.0	3
adidas.it	Orientation, Motion	Canvas	adidas.it	1	0.0	3
bedbathandbeyond.com	Orientation, Motion	Canvas	bedbathandbeyond.com	1	0.0004	3
realcanadiansuperstore.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	realcanadiansuperstore.ca	1	0.0	4
pcrichard.com	Orientation, Motion	Canvas	pcrichard.com	1	0.0	3
kansascity.com	Orientation		kansascity.com	1	0.0001	1
xmtrading.com	Orientation, Motion	Canvas	xmtrading.com	1	0.0003	3
seirex.biz	Orientation		seirex.biz	1	0.0	7
groupon.es	Orientation, Motion	Canvas	groupon.es	1	0.0	3
360buyimg.com	Orientation		baitiao.com	1	0.0	2
donotcall.gov	Orientation, Light, Motion	Canvas, WebRTC	donotcall.gov	1	0.0001	4
mymemory.co.uk	Orientation		mymemory.co.uk	1	0.0	2
co-operativebank.co.uk	Orientation, Proximity, Light, Motion		co-operativebank.co.uk	1	0.0001	2
xm.co.uk	Orientation, Motion	Canvas	xm.co.uk	1	0.0	3
sacbee.com	Orientation		sacbee.com	1	0.0001	1
otcmarkets.com	Orientation, Proximity, Light, Motion		otcmarkets.com	1	0.0	3
myntra.com	Orientation, Motion	Canvas	myntra.com	1	0.0007	3
surge.sh	Orientation		surge.sh	1	0.0	2
vans.co.uk	Orientation, Motion	Canvas	vans.co.uk	1	0.0	3
banking-oberbank.at	Orientation, Proximity, Light, Motion	Canvas	banking-oberbank.at	1	0.0	2
parts-express.com	Orientation		parts-express.com	1	0.0	2
groupon.ae	Orientation, Motion	Canvas	groupon.ae	1	0.0	3
exmo.com	Orientation		exmo.com	1	0.0	7
nofrills.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	nofrills.ca	1	0.0	4
21vianet.com	Orientation		21vianet.com	1	0.0	7
marthastewart.com	Orientation, Proximity, Motion, Light		marthastewart.com	1	0.0001	3
heathersidetrading.com	Orientation		heathersidetrading.com	1	0.0	2
moo.com	Orientation		moo.com	1	0.0001	2
etihadguest.com	Orientation, Motion	Canvas	etihadguest.com	1	0.0	3
ih5.cn	Orientation		ih5.cn	1	0.0002	2
exmo.me	Orientation		exmo.me	1	0.0001	7
footaction.com	Orientation, Motion	Canvas	footaction.com	1	0.0	3
adidas.fr	Orientation, Motion	Canvas	adidas.fr	1	0.0	3
saiglobal.com	Orientation, Motion	Canvas	saiglobal.com	1	0.0	3
camex.az	Orientation		camex.az	1	0.0	7
infomedia.com.au	Orientation		superservice.com	1	0.0	7
furorporno.com	Orientation		nachovidal.com	1	0.0	6
target.com.au	Orientation, Motion	Canvas	target.com.au	1	0.0001	3
kroger.com	Orientation, Motion	Canvas	kroger.com	1	0.0002	3
homedepot.ca	Orientation, Motion	Canvas	homedepot.ca	1	0.0002	3
kubnews.ru	Orientation, Motion		kubnews.ru	1	0.0	7
jsdelivr.net	Proximity		kanmsu.com	1	0.0	5
epson.de	Proximity		epson.de	1	0.0	5
skyhives.com	Proximity		skyhives.com	1	0.0	5
axa.com	Proximity, Orientation, Light, Motion		axa.com	1	0.0	2
hampshire.edu	Proximity		hampshire.edu	1	0.0	5
sumo.com	Proximity		sumo.com	1	0.0	5
epson.fr	Proximity		epson.fr	1	0.0	5
daytondailynews.com	Proximity, Orientation, Light, Motion		daytondailynews.com	1	0.0	3
taxpolicycenter.org	Proximity		taxpolicycenter.org	1	0.0	5
epson.co.uk	Proximity		epson.co.uk	1	0.0	5
efirstbank.com	Proximity, Orientation, Light, Motion		efirstbank.com	1	0.0001	2
d4c0ui3wizi5e.cloudfront.net	Proximity		nachi.org	1	0.0	2
userede.com.br	Proximity		userede.com.br	1	0.0	5
locaweb.com.br	Proximity		locaweb.com.br	1	0.0001	3,5
epson.it	Proximity		epson.it	1	0.0	5
adage.com	Proximity, Light		adage.com	1	0.0001	3
acura.com	Proximity		acura.com	1	0.0	5
annals.org	Proximity, Light		annals.org	1	0.0	3
rackcdn.com	Proximity		arise.com	1	0.0	5
mantruckandbus.com	Proximity		man.eu	1	0.0	5
hyperxgaming.com	Proximity		hyperxgaming.com	1	0.0	2
workflowmax.com	Orientation, Motion	Canvas	workflowmax.com	1	0.0	3
virginmoneygiving.com	Orientation, Light, Motion		virginmoneygiving.com	1	0.0	2
be-in.ru	Proximity		be-in.ru	1	0.0	5
soccerbible.com	Proximity		soccerbible.com	1	0.0	5
charbroil.com	Proximity		charbroil.com	1	0.0	5
proofpositivemedia.com	Proximity, Orientation, Light, Motion	AudioContext, Battery	collegexpress.com	1	0.0	3
pelismart.com	Proximity		pelismart.com	1	0.0	5
roosevelt.edu	Proximity		roosevelt.edu	1	0.0	5
payback.de	Proximity		payback.de	1	0.0002	5
d2krftu0n4417x.cloudfront.net	Proximity		photovisi.com	1	0.0	5
newsela.com	Proximity		newsela.com	1	0.0002	3,5
s3-sa-east-1.amazonaws.com	Proximity		polishop.com.br	1	0.0	2
epson.es	Proximity		epson.es	1	0.0	5
pathoma.com	Proximity		pathoma.com	1	0.0001	2
anl.gov	Proximity		anl.gov	1	0.0	2
santander.com.mx	Proximity, Motion, Light, Orientation	Canvas	santander-serfin.com	1	0.0	2
makeameme.org	Proximity		makeameme.org	1	0.0	5
mdedge.com	Proximity, Light, Orientation, Motion		mdedge.com	1	0.0	3
volkswagen.co.uk	Proximity		volkswagen.co.uk	1	0.0	5
overstock.com	Orientation, Motion	Canvas	overstock.com	1	0.0004	3
saks.com	Orientation, Motion	Canvas	saksfifthavenue.com	1	0.0001	3
xm-indonesia.com	Orientation, Motion	Canvas	xm-indonesia.com	1	0.0001	3
staples.com	Orientation, Motion	Canvas	staples.com	1	0.0004	3
rsvp.com.au	Orientation		rsvp.com.au	1	0.0	2
openprocessing.org	Orientation, Motion		openprocessing.org	1	0.0	2
buffalowildwings.com	Orientation		buffalowildwings.com	1	0.0001	2
xzw.com	Orientation		xzw.com	1	0.0	7
elnuevoherald.com	Orientation		elnuevoherald.com	1	0.0001	1
momento360.com	Orientation		iith.ac.in	1	0.0	1,2
billabong.com	Orientation, Motion	Canvas	billabong.com	1	0.0	3
worldmarktheclub.com	Orientation, Motion		worldmarktheclub.com	1	0.0	2
cinematrix.net	Orientation		cinematrix.net	1	0.0	7
pcoptimum.ca	Orientation	Canvas, Canvas font, AudioContext, WebRTC	pcoptimum.ca	1	0.0001	4
starwoodhotels.com	Orientation		starwoodhotels.com	1	0.0003	2
docin.com	Orientation		docin.com	1	0.0006	1
marcus.com	Orientation, Motion	Canvas	marcus.com	1	0.0	3
leancloud.cn	Orientation		leancloud.cn	1	0.0001	7
lordandtaylor.com	Orientation, Motion	Canvas	lordandtaylor.com	1	0.0001	3
audi.co.uk	Orientation, Motion		audi.co.uk	1	0.0	2
drsfostersmith.com	Orientation, Motion	Canvas	drsfostersmith.com	1	0.0	3
zalora.co.id	Orientation, Motion	Canvas	zalora.co.id	1	0.0	3
soccer.com	Orientation, Motion	Canvas	soccer.com	1	0.0	3
simmons.edu	Orientation		simmons.edu	1	0.0	1
anthem.com	Orientation, Motion	Canvas	anthem.com	1	0.0001	3
easyjet.com	Orientation, Motion	Canvas	easyjet.com	1	0.0004	3
autoscout24.be	Orientation		autoscout24.be	1	0.0001	1
quepasasalta.com.ar	Orientation		quepasasalta.com.ar	1	0.0	2
hautelook.com	Orientation, Motion	Canvas	hautelook.com	1	0.0001	3
cbk-online.com	Orientation, Light, Motion	Canvas, WebRTC	cbk-online.com	1	0.0	4
allrecipes.com	Orientation, Light, Motion, Proximity		allrecipes.com	1	0.0008	3
lq.com	Orientation, Motion	Canvas	lq.com	1	0.0	3
wnkhs.net	Orientation		wnkhs.net	1	0.0	1
adidas.com.au	Orientation, Motion	Canvas	adidas.com.au	1	0.0	3
oktawave.com	Orientation		conowego.pl	1	0.0	2
jaybirdsport.com	Orientation		jaybirdsport.com	1	0.0	2
charlotteobserver.com	Orientation		charlotteobserver.com	1	0.0001	1
groupon.de	Orientation, Motion	Canvas	groupon.de	1	0.0001	3
key.com	Orientation, Motion	Canvas	key.com	1	0.0001	3
yoox.com	Orientation, Motion	Canvas	yoox.com	1	0.0003	3
stubhub.com	Orientation, Motion	Canvas	stubhub.com	1	0.0005	3
warriorplus.com	Orientation		warriorplus.com	1	0.0001	7
autoscout24.ro	Orientation		autoscout24.ro	1	0.0	1
evowars.io	Orientation, Motion		evowars.io	1	0.0	2
arrow.com	Orientation, Motion	Canvas	arrow.com	1	0.0	3
autoscout24.ru	Orientation		autoscout24.ru	1	0.0	1
adidas.com	Orientation, Motion	Canvas	adidas.com	1	0.0004	3
dod.mil	Orientation, Light, Motion	Canvas, WebRTC	dod.mil	1	0.0	4
wrangler.com	Orientation, Motion	Canvas	wrangler.com	1	0.0	3
icubeswire.com	Orientation		icubeswire.com	1	0.0001	7
